date,account,category,amount,currency,converted amount,currency,description
13/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
14/01/2019,Cash,House,"-1,400",SYP,-2.8,USD,قهوة + بسكوت 
14/01/2019,Cash,Entertainment,"-2,400",SYP,-4.8,USD,Error 404
14/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
15/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
15/01/2019,Cash,Eating out,"-1,100",SYP,-2.2,USD,شيش
15/01/2019,Cash,Taxi,"-1,500",SYP,-3,USD,
15/01/2019,Cash,Entertainment,-800,SYP,-1.6,USD,نسكافيه
15/01/2019,Cash,Babies,"-1,000",SYP,-2,USD,بوينو
15/01/2019,Cash,Entertainment,-800,SYP,-1.6,USD,ابو احمد
16/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
17/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
18/01/2019,Cash,Entertainment,"-1,700",SYP,-3.4,USD,سواح
18/01/2019,Cash,Eating out,"-2,000",SYP,-4,USD,وايت تشكن
19/01/2019,Cash,House,-600,SYP,-1.2,USD,لبن + كولا
19/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
20/01/2019,Cash,Eating out,-600,SYP,-1.2,USD,بطاطا
20/01/2019,Cash,Food,"-2,000",SYP,-4,USD,فطاير
20/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
21/01/2019,Cash,Entertainment,-700,SYP,-1.4,USD,ابو احمد
22/01/2019,Cash,Transport,-300,SYP,-0.6,USD,
22/01/2019,Cash,Eating out,-800,SYP,-1.6,USD,شاورما
22/01/2019,Cash,Eating out,-100,SYP,-0.2,USD,كيك
23/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
24/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
25/01/2019,Cash,Eating out,"-2,000",SYP,-4,USD,سوبر محمود
25/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
25/01/2019,Cash,Entertainment,"-1,600",SYP,-3.2,USD,سواح
26/01/2019,Cash,Babies,-400,SYP,-0.8,USD,تحاميل
26/01/2019,Cash,Transport,-200,SYP,-0.4,USD,
27/01/2019,Cash,Taxi,-700,SYP,-1.4,USD,
27/01/2019,Cash,Transport,-250,SYP,-0.5,USD,
27/01/2019,Cash,Entertainment,"-2,200",SYP,-4.4,USD,Error 404
28/01/2019,Cash,Transport,-475,SYP,-0.95,USD,
28/01/2019,Cash,Entertainment,"-1,500",SYP,-3,USD,Error 404
28/01/2019,Cash,Eating out,"-1,300",SYP,-2.6,USD,فطاير
28/01/2019,Cash,Clothes,"-12,000",SYP,-24,USD,بوط
28/01/2019,Cash,Sports,-900,SYP,-1.8,USD,
29/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
30/01/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
30/01/2019,Cash,Transport,-150,SYP,-0.3,USD,
31/01/2019,Cash,Eating out,-800,SYP,-1.6,USD,كريسبي
31/01/2019,Cash,Transport,-100,SYP,-0.2,USD,
01/02/2019,Cash,Deposits,"-10,000",SYP,-20,USD,جمعية
01/02/2019,Cash,Salary,"150,000",SYP,300,USD,
01/02/2019,Cash,Eating out,"-2,900",SYP,-5.8,USD,وايت تشكن + شاورما
01/02/2019,Cash,Entertainment,"-1,800",SYP,-3.6,USD,سواح
02/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
03/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
04/02/2019,Cash,Eating out,-500,SYP,-1,USD,شاورما
04/02/2019,Cash,Taxi,"-1,000",SYP,-2,USD,
04/02/2019,Cash,Transport,-300,SYP,-0.6,USD,
04/02/2019,Cash,Eating out,-100,SYP,-0.2,USD,فطاير
05/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
06/02/2019,Cash,Eating out,-700,SYP,-1.4,USD,بيتزا
06/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
06/02/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
07/02/2019,Cash,Transport,-200,SYP,-0.4,USD,
07/02/2019,Cash,Eating out,-500,SYP,-1,USD,شاورما
07/02/2019,Cash,Entertainment,"-1,200",SYP,-2.4,USD,المجد
08/02/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,سواح
08/02/2019,Cash,Eating out,"-2,500",SYP,-5,USD,وايت تشكن
08/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
09/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
10/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
10/02/2019,Cash,Eating out,"-2,400",SYP,-4.8,USD,شاورما
10/02/2019,Cash,Eating out,-300,SYP,-0.6,USD,شموط
10/02/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
11/02/2019,Cash,Eating out,-225,SYP,-0.45,USD,بطاطا
11/02/2019,Cash,Transport,-50,SYP,-0.1,USD,
11/02/2019,Cash,Eating out,"-2,200",SYP,-4.4,USD,وايت تشكن
11/02/2019,Cash,Entertainment,"-1,100",SYP,-2.2,USD,احلى لمة
11/02/2019,Cash,Sports,"-3,200",SYP,-6.4,USD,
12/02/2019,Cash,Entertainment,-800,SYP,-1.6,USD,صيف وشتا
12/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
12/02/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
13/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
13/02/2019,Cash,Sports,-700,SYP,-1.4,USD,
13/02/2019,Cash,Entertainment,"-1,500",SYP,-3,USD,Error 404
13/02/2019,Cash,Eating out,-600,SYP,-1.2,USD,شاورما
14/02/2019,Cash,Eating out,-100,SYP,-0.2,USD,فطاير
14/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
15/02/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,سواح
15/02/2019,Cash,Eating out,"-1,800",SYP,-3.6,USD,فروج
15/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
16/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
17/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
18/02/2019,Cash,Transport,-250,SYP,-0.5,USD,
19/02/2019,Cash,Eating out,-650,SYP,-1.3,USD,فطاير
19/02/2019,Cash,Transport,-50,SYP,-0.1,USD,
20/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
21/02/2019,Cash,Eating out,"-2,000",SYP,-4,USD,فطاير
21/02/2019,Cash,Transport,-150,SYP,-0.3,USD,
22/02/2019,Cash,Entertainment,"-1,300",SYP,-2.6,USD,سواح
22/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
22/02/2019,Cash,Eating out,"-1,700",SYP,-3.4,USD,شاورما
23/02/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,سواح
23/02/2019,Cash,Transport,-200,SYP,-0.4,USD,
23/02/2019,Cash,Eating out,"-1,200",SYP,-2.4,USD,وايت تشكن
24/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
25/02/2019,Cash,Transport,-350,SYP,-0.7,USD,
25/02/2019,Cash,Eating out,-400,SYP,-0.8,USD,فلافل
26/02/2019,Cash,Babies,"-2,000",SYP,-4,USD,
26/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
26/02/2019,Cash,Communications,-850,SYP,-1.7,USD,هاتف
27/02/2019,Cash,Transport,-100,SYP,-0.2,USD,
28/02/2019,Cash,Sports,-800,SYP,-1.6,USD,
28/02/2019,Cash,Mobile,"-300,000",SYP,-600,USD,
28/02/2019,Cash,Transport,-300,SYP,-0.6,USD,
28/02/2019,Cash,Mobile,"-15,000",SYP,-30,USD,
28/02/2019,Cash,Health,-350,SYP,-0.7,USD,ابيبول
28/02/2019,Cash,Bills,"-1,100",SYP,-2.2,USD,هرم
01/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
01/03/2019,Cash,Gifts,"-6,000",SYP,-12,USD,نورا
01/03/2019,Cash,Eating out,"-2,000",SYP,-4,USD,وايت تشكن
01/03/2019,Cash,Entertainment,"-1,200",SYP,-2.4,USD,سواح
01/03/2019,Cash,Deposits,"-10,000",SYP,-20,USD,جمعية
02/03/2019,Cash,Health,-250,SYP,-0.5,USD,قطرة
02/03/2019,Cash,Transport,-400,SYP,-0.8,USD,
02/03/2019,Cash,Android,"50,000",SYP,100,USD,
02/03/2019,Cash,Taxi,"-1,000",SYP,-2,USD,
03/03/2019,Cash,Salary,"150,000",SYP,300,USD,
03/03/2019,Cash,House,"-1,400",SYP,-2.8,USD,قهوة
03/03/2019,Cash,Mobile,"-3,500",SYP,-7,USD,لزقة
03/03/2019,Cash,Communications,"-3,400",SYP,-6.8,USD,انترنت
03/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
04/03/2019,Cash,Transport,-250,SYP,-0.5,USD,
04/03/2019,Cash,Eating out,-200,SYP,-0.4,USD,اندومي
04/03/2019,Cash,Communications,-200,SYP,-0.4,USD,خط
04/03/2019,Cash,Taxi,"-1,000",SYP,-2,USD,
04/03/2019,Cash,Sports,"-3,000",SYP,-6,USD,
05/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
05/03/2019,Cash,Eating out,-400,SYP,-0.8,USD,فطاير
06/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
07/03/2019,Cash,Eating out,-400,SYP,-0.8,USD,بطاطا
07/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
08/03/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,سواح
08/03/2019,Cash,Transport,-250,SYP,-0.5,USD,
08/03/2019,Cash,Eating out,"-3,700",SYP,-7.4,USD,وايت تشكن + شاورما
09/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
10/03/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
10/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
11/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
11/03/2019,Cash,Eating out,-300,SYP,-0.6,USD,فطاير
11/03/2019,Cash,House,"-1,400",SYP,-2.8,USD,قهوة
11/03/2019,Cash,Eating out,"-1,600",SYP,-3.2,USD,فروج
11/03/2019,Cash,Entertainment,-400,SYP,-0.8,USD,سواح
12/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
13/03/2019,Cash,Entertainment,-500,SYP,-1,USD,سواح
13/03/2019,Cash,Taxi,-500,SYP,-1,USD,
13/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
14/03/2019,Cash,Babies,"-1,500",SYP,-3,USD,كيندر
14/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
14/03/2019,Cash,Eating out,-600,SYP,-1.2,USD,شاورما
14/03/2019,Cash,Sports,"-1,200",SYP,-2.4,USD,
14/03/2019,Cash,Salary,"45,000",SYP,90,USD,مكافأة
15/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
15/03/2019,Cash,Entertainment,"-1,200",SYP,-2.4,USD,سواح
15/03/2019,Cash,Eating out,"-2,200",SYP,-4.4,USD,بيتزا + بطاطا
16/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
16/03/2019,Cash,House,-600,SYP,-1.2,USD,خبز 
17/03/2019,Cash,Eating out,-100,SYP,-0.2,USD,فطاير
17/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
18/03/2019,Cash,Taxi,"-1,000",SYP,-2,USD,
19/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
19/03/2019,Cash,House,"-1,400",SYP,-2.8,USD,قهوة
20/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
21/03/2019,Cash,Gifts,"-13,000",SYP,-26,USD,
21/03/2019,Cash,House,"-1,000",SYP,-2,USD,كولا
22/03/2019,Cash,Entertainment,"-1,800",SYP,-3.6,USD,سواح
22/03/2019,Cash,Eating out,"-1,800",SYP,-3.6,USD,شاورما
22/03/2019,Cash,Transport,-200,SYP,-0.4,USD,
23/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
24/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
24/03/2019,Cash,Bills,"-2,000",SYP,-4,USD,حاتم
24/03/2019,Cash,Eating out,-200,SYP,-0.4,USD,فلافل
24/03/2019,Cash,Shaving,"-1,000",SYP,-2,USD,
25/03/2019,Cash,Bills,-900,SYP,-1.8,USD,
25/03/2019,Cash,Transport,-500,SYP,-1,USD,
26/03/2019,Cash,Entertainment,"-2,000",SYP,-4,USD,ذوات
26/03/2019,Cash,Transport,-150,SYP,-0.3,USD,
26/03/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,عصير
27/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
28/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
28/03/2019,Cash,Bills,"-3,500",SYP,-7,USD,فحص وطني
29/03/2019,Cash,Taxi,-500,SYP,-1,USD,
29/03/2019,Cash,Entertainment,"-2,100",SYP,-4.2,USD,سواح
29/03/2019,Cash,Eating out,"-3,100",SYP,-6.2,USD,شاورما + كرانشي
30/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
30/03/2019,Cash,Taxi,-700,SYP,-1.4,USD,
30/03/2019,Cash,Eating out,"-6,250",SYP,-12.5,USD,نوسترا كازا
30/03/2019,Cash,Gifts,"-3,250",SYP,-6.5,USD,
30/03/2019,Cash,House,"-1,700",SYP,-3.4,USD,هريسة
31/03/2019,Cash,Eating out,-100,SYP,-0.2,USD,فطاير
31/03/2019,Cash,Transport,-100,SYP,-0.2,USD,
01/04/2019,Cash,Taxi,-200,SYP,-0.4,USD,
01/04/2019,Cash,Sports,"-3,000",SYP,-6,USD,
01/04/2019,Cash,Entertainment,"-1,000",SYP,-2,USD,Error 404
01/04/2019,Cash,Eating out,"-1,000",SYP,-2,USD,كريسبي
01/04/2019,Cash,Gifts,"5,000",SYP,10,USD,رغدة
01/04/2019,Cash,Gifts,"5,000",SYP,10,USD,محمود
01/04/2019,Cash,Gifts,"6,000",SYP,12,USD,عهد 
01/04/2019,Cash,Gifts,"7,000",SYP,14,USD,ماما
02/04/2019,Cash,Transport,-200,SYP,-0.4,USD,
03/04/2019,Cash,Food,-500,SYP,-1,USD,كولا
03/04/2019,Cash,Transport,-100,SYP,-0.2,USD,
04/04/2019,Cash,Salary,"172,500",SYP,345,USD,
04/04/2019,Cash,Eating out,-200,SYP,-0.4,USD,اندومي
04/04/2019,Cash,Transport,-150,SYP,-0.3,USD,
04/04/2019,Cash,Communications,"-3,200",SYP,-6.4,USD,انترنت
05/04/2019,Cash,Transport,-100,SYP,-0.2,USD,
05/04/2019,Cash,Taxi,-500,SYP,-1,USD,
05/04/2019,Cash,Entertainment,"-1,500",SYP,-3,USD,سواح
05/04/2019,Cash,Eating out,"-1,600",SYP,-3.2,USD,فروج
05/04/2019,Cash,Deposits,"100,000",SYP,200,USD,جمعية
06/04/2019,Cash,Eating out,-200,SYP,-0.4,USD,اندومي
06/04/2019,Cash,Transport,-150,SYP,-0.3,USD,
06/04/2019,Cash,Sports,-800,SYP,-1.6,USD,
08/04/2019,Cash,Entertainment,-100,SYP,-0.2,USD,كولا
08/04/2019,Cash,Transport,-150,SYP,-0.3,USD,
08/04/2019,Cash,Electronics,"-14,000",SYP,-28,USD,بطارية
08/04/2019,Cash,Electronics,"-1,500",SYP,-3,USD,حقيبة
08/04/2019,Cash,To 'Bank',"-200,000",SYP,-400,USD,
08/04/2019,Bank,From 'Cash',"200,000",SYP,400,USD,
08/04/2019,Cash,Transport,-200,SYP,-0.4,USD,
09/04/2019,Cash,Transport,-100,SYP,-0.2,USD,
10/04/2019,Cash,Clothes,"-11,600",SYP,-23.2,USD,
10/04/2019,Cash,Taxi,-700,SYP,-1.4,USD,
10/04/2019,Cash,Eating out,"-4,200",SYP,-8.4,USD,وايت تشكن
12/04/2019,Cash,Eating out,"-2,300",SYP,-4.6,USD,وايت تشكن
12/04/2019,Cash,Entertainment,"-1,350",SYP,-2.7,USD,سواح
13/04/2019,Cash,Electronics,"-6,000",SYP,-12,USD,ساعة
13/04/2019,Cash,Eating out,"-1,600",SYP,-3.2,USD,شاورما
13/04/2019,Cash,Entertainment,"-1,200",SYP,-2.4,USD,سواح
13/04/2019,Cash,Transport,-200,SYP,-0.4,USD,
14/04/2019,Cash,Eating out,-100,SYP,-0.2,USD,فطاير
14/04/2019,Cash,Transport,-150,SYP,-0.3,USD,
15/04/2019,Cash,Eating out,-200,SYP,-0.4,USD,بطاطا
15/04/2019,Cash,Transport,-200,SYP,-0.4,USD,
15/04/2019,Cash,Food,-200,SYP,-0.4,USD,مي
